quinto,クイント,KU I N TO
﻿friendly,フレンドリー,HU RE N DO RI -
﻿flow,フロー,HU RO -
﻿frozen food,フローズンフード,HU RO - ZU N HU - DO
﻿frozen yoghurt,フローズンヨーグルト,HU RO - ZU N YO - GU RU TO
﻿floater serve,フローターサーブ,HU RO - TA - SA - BU
﻿floating,フローティング,HU RO - TE i N GU
﻿float,フロート,HU RO - TO
﻿miss,フロイライン,HU RO I RA I N
﻿frost,フロスト,HU RO SU TO
﻿fluke,フロック,HU RO tsu KU
﻿frogman,フロッグマン,HU RO tsu GU MA N
﻿floppy disk,フロッピーディスク,HU RO tsu PI - DE i SU KU
﻿cheese,フロマージュ,HU RO MA - ZI yu
﻿fluon gas,フロンガス,HU RO N GA SU
﻿frontier,フロンティア,HU RO N TE i A
﻿front office,フロントオフェス,HU RO N TO O HU e SU
﻿front page,フロントページ,HU RO N TO PE - ZI
﻿booing,ブーイング,BU - I N GU
﻿bouquet,ブーケ,BU - KE
﻿booth,ブース,BU - SU
﻿booster,ブースタ,BU - SU TA
﻿boots,ブーツ,BU - TU
﻿boot,ブート,BU - TO
﻿boom,ブーム,BU - MU
﻿boomerang,ブーメラン,BU - ME RA N
﻿boolean,ブーリアン,BU - RI A N
﻿buoy,ブイ,BU I
﻿V neck,ブイネック,BU I NE tsu KU
﻿boogie,ブギー,BU GI -
﻿buzzer,ブザー,BU ZA -
﻿booker,ブッカー,BU tsu KA -
﻿bookie,ブッキー,BU tsu KI -
﻿bookish,ブッキッシュ,BU tsu KI tsu SI yu
﻿booking,ブッキング,BU tsu KI N GU
﻿book,ブック,BU tsu KU
﻿bookend,ブックエンド,BU tsu KU E N DO
﻿book cover,ブックカバー,BU tsu KU KA BA -
﻿book mart,ブックマート,BU tsu KU MA - TO
﻿bookmaker,ブックメーカー,BU tsu KU ME - KA -
﻿booklet,ブックレット,BU tsu KU RE tsu TO
﻿book review,ブックレビュー,BU tsu KU RE BI yu -
﻿bush,ブッシュ,BU tsu SI yu
﻿bushman,ブッシュマン,BU tsu SI yu MA N
﻿bridal,ブライダル,BU RA I DA RU
﻿bridal bouquet,ブライダルブーケ,BU RA I DA RU BU - KE
﻿bridal market,ブライダルマーケット,BU RA I DA RU MA - KE tsu TO
﻿briar,ブライヤー,BU RA I YA -
﻿blind side,ブラインドサイド,BU RA I N DO SA I DO
﻿blind test,ブラインドテスト,BU RA I N DO TE SU TO
﻿blind date,ブラインドデート,BU RA I N DO DE - TO
﻿browsing,ブラウジング,BU RA U ZI N GU
﻿browsing tool,ブラウジングツール,BU RA U ZI N GU TU - RU
﻿blouse,ブラウス,BU RA U SU
﻿browse,ブラウズ,BU RA U ZU
﻿brown,ブラウン,BU RA U N
﻿bra cup,ブラカップ,BU RA KA tsu PU
﻿bracket,ブラケット,BU RA KE tsu TO
﻿bra,ブラジャー,BU RA ZI ya -
﻿brass,ブラス,BU RA SU
﻿brasserie,ブラスリー,BU RA SU RI -
﻿black,ブラック,BU RA tsu KU
﻿blackout,ブラックアウト,BU RA tsu KU A U TO
﻿Black Africa,ブラックアフリカ,BU RA tsu KU A HU RI KA
﻿black ghetto,ブラックゲットー,BU RA tsu KU GE tsu TO -
﻿black coffee,ブラックコーヒー,BU RA tsu KU KO - HI -
﻿black comedy,ブラックコメディー,BU RA tsu KU KO ME DE i -
﻿black shaft,ブラックシャフト,BU RA tsu KU SI ya HU TO
﻿blackjack,ブラックジャック,BU RA tsu KU ZI ya tsu KU
﻿black tie,ブラックタイ,BU RA tsu KU TA I
﻿black chamber,ブラックチェンバー,BU RA tsu KU TI e N BA -
﻿Black Power,ブラックパワー,BU RA tsu KU PA WA -
﻿Black Panther,ブラックパンサー,BU RA tsu KU PA N SA -
﻿black hole,ブラックホール,BU RA tsu KU HO - RU
﻿black box,ブラックボックス,BU RA tsu KU BO tsu KU SU
﻿black market,ブラックマーケット,BU RA tsu KU MA - KE tsu TO
﻿black money,ブラックマネー,BU RA tsu KU MA NE -
﻿black humor,ブラックユーモア,BU RA tsu KU YU - MO A
﻿blacklist,ブラックリスト,BU RA tsu KU RI SU TO
﻿brassie,ブラッシー,BU RA tsu SI -
﻿blood elite,ブラッドエリート,BU RA tsu DO E RI - TO
﻿blood bank,ブラッドバンク,BU RA tsu DO BA N KU
﻿bravo,ブラボー,BU RA BO -
﻿blanket,ブランケット,BU RA N KE tsu TO
﻿blanket area,ブランケットエリア,BU RA N KE tsu TO E RI A
﻿branch,ブランチ,BU RA N TI
﻿brandy,ブランデー,BU RA N DE -
﻿brand,ブランド,BU RA N DO
﻿brand image,ブランドイメージ,BU RA N DO I ME - ZI
﻿brand loyalty,ブランドロイヤリティー,BU RA N DO RO I YA RI TE i -
﻿breathing,ブリージング,BU RI - ZI N GU
﻿bleach,ブリーチ,BU RI - TI
﻿bleachers,ブリーチャーズ,BU RI - TI ya - ZU
﻿free talking,フリートーキング,HU RI - TO - KI N GU
﻿brief,ブリーフ,BU RI - HU
﻿briefcase,ブリーフケース,BU RI - HU KE - SU
﻿brioche,ブリオッシ,BU RI O tsu SI
﻿blizzard,ブリザード,BU RI ZA - DO
﻿Brisbane,ブリスベン,BU RI SU BE N
﻿flicker,フリッカー,HU RI tsu KA -
﻿bridge,ブリッジ,BU RI tsu ZI
﻿British Airways,ブリティッシュエアウェイズ,BU RI TE i tsu SI yu E A U e I ZU
﻿Brussels,ブリュッセル,BU RI yu tsu SE RU
﻿bull,ブル,BU RU
﻿Blue Impulse,ブルーインパルス,BU RU - I N PA RU SU
﻿blueglass,ブルーグラス,BU RU - GU RA SU
﻿blues,ブルース,BU RU - SU
﻿blue sex,ブルーセッカス,BU RU - SE tsu KA SU
﻿blue day,ブルーデー,BU RU - DE -
﻿blue train,ブルートレーン,BU RU - TO RE - N
﻿blue film,ブルーフィルム,BU RU - HU i RU MU
﻿blue book,ブルーブック,BU RU - BU tsu KU
﻿blue Monday,ブルーマンデー,BU RU - MA N DE -
﻿blouse,ブルゾン,BU RU ZO N
﻿bulldozer,ブルドーザー,BU RU DO - ZA -
﻿bulldog,ブルドッグ,BU RU DO tsu GU
﻿brunette,ブルネット,BU RU NE tsu TO
﻿bull pen,ブルペン,BU RU PE N
﻿breaker,ブレーカー,BU RE - KA -
﻿brake,ブレーキ,BU RE - KI
﻿brake oil,ブレーキオイル,BU RE - KI O I RU
﻿breakdown,ブレークダウン,BU RE - KU DA U N
﻿breakdance,ブレークダンス,BU RE - KU DA N SU
﻿blade,ブレード,BU RE - DO
﻿brain,ブレーン,BU RE - N
﻿brainstorming,ブレーンストーミング,BU RE - N SU TO - MI N GU
﻿brain trust,ブレーントラスト,BU RE - N TO RA SU TO
﻿bleomycin,ブレオマイシン,BU RE O MA I SI N
﻿blazer,ブレザー,BU RE ZA -
﻿blazer coat,ブレザーコート,BU RE ZA - KO - TO
﻿breast,ブレスト,BU RE SU TO
﻿breaststroke,ブレストストローク,BU RE SU TO SU TO RO - KU
﻿bracelet,ブレスレット,BU RE SU RE tsu TO
﻿bread,ブレッド,BU RE tsu DO
﻿blow,ブロー,BU RO -
﻿broker,ブローカー,BU RO - KA -
﻿broken,ブロークン,BU RO - KU N
﻿broken English,ブロークンイングリッシュ,BU RO - KU N I N GU RI tsu SI yu
﻿broken heart,ブロークンハート,BU RO - KU N HA - TO
﻿brooch,ブローチ,BU RO - TI
﻿Broadway,ブロードウェー,BU RO - DO U e -
﻿broadcast,ブロードキャスト,BU RO - DO KI ya SU TO
﻿Brownie,ブローニー,BU RO - NI -
﻿broiler,ブロイラー,BU RO I RA -
﻿brocade,ブロケード,BU RO KE - DO
﻿blocker,ブロッカー,BU RO tsu KA -
﻿blocking,ブロッキング,BU RO tsu KI N GU
﻿frock coat,フロックコート,HU RO tsu KU KO - TO
﻿blockbuster,ブロックバスター,BU RO tsu KU BA SU TA -
﻿Brocken,ブロッケン,BU RO tsu KE N
﻿bromide,ブロマイド,BU RO MA I DO
﻿bronze,ブロンズ,BU RO N ZU
﻿powder,プードル,PU - DO RU
﻿puma,プーマ,PU - MA
﻿pool bar,プールバー,PU - RU BA -
﻿pussy,プッシー,PU tsu SI -
﻿push,プッシュ,PU tsu SI yu
﻿push cart,プッシュカート,PU tsu SI yu KA - TO
﻿push lock,プッシュロック,PU tsu SI yu RO tsu KU
﻿pushing,プッシング,PU tsu SI N GU
﻿pudding,プディング,PU DE i N GU
﻿Prague,プラーグ,PU RA - GU
﻿plywood,プライウッド,PU RA I U tsu DO
﻿priori,プライオリ,PU RA I O RI
﻿priority,プライオリティ,PU RA I O RI TE i
﻿price,プライス,PU RA I SU
﻿prize money,プライズマネー,PU RA I ZU MA NE -
﻿pride,プライド,PU RA I DO
﻿privacy,プライバシー,PU RA I BA SI -
﻿private,プライベート,PU RA I BE - TO
﻿private offering,プライベートオファーリング,PU RA I BE - TO O HU a - RI N GU
﻿private room,プライベートルーム,PU RA I BE - TO RU - MU
﻿primary care,プライマリーケア,PU RA I MA RI - KE A
﻿primary health care,プライマリーヘルスケア,PU RA I MA RI - HE RU SU KE A
﻿prime time,プライムタイム,PU RA I MU TA I MU
﻿placard,プラカード,PU RA KA - DO
﻿practice,プラクティス,PU RA KU TE i SU
﻿plug,プラグ,PU RA GU
﻿pragmatism,プラグマティズム,PU RA GU MA TE i ZU MU
﻿plaza,プラザ,PU RA ZA
﻿plus,プラス,PU RA SU
﻿plaster,プラスター,PU RA SU TA -
﻿plasterboard,プラスターボード,PU RA SU TA - BO - DO
﻿plastic,プラスチック,PU RA SU TI tsu KU
﻿plastic money,プラスチックマネー,PU RA SU TI tsu KU MA NE -
﻿plasma,プラズマ,PU RA ZU MA
﻿plasma display,プラズマディスプレイ,PU RA ZU MA DE i SU PU RE I
﻿platform,プラットホーム,PU RA tsu TO HO - MU
﻿plateau,プラトー,PU RA TO -
﻿platonic,プラトニック,PU RA TO NI tsu KU
﻿Platonic love,プラトニックラブ,PU RA TO NI tsu KU RA BU
﻿plum,プラム,PU RA MU
﻿plan,プラン,PU RA N
﻿plankton,プランクトン,PU RA N KU TO N
﻿planter,プランター,PU RA N TA -
﻿plantation,プランテーション,PU RA N TE - SI yo N
﻿plant renovation,プラントリノベーション,PU RA N TO RI NO BE - SI yo N
﻿plant layout,プラントレイアウト,PU RA N TO RE I A U TO
﻿planner,プランナー,PU RA N NA -
﻿planning,プランニング,PU RA N NI N GU
﻿preset,プリセット,PU RI SE tsu TO
﻿pretty,プリティ,PU RI TE i
﻿preference,プリファレンス,PU RI HU a RE N SU
﻿prefix,プリフィクス,PU RI HU i KU SU
﻿prince,プリンス,PU RI N SU
﻿printer,プリンター,PU RI N TA -
﻿printout,プリントアウト,PU RI N TO A U TO
﻿pull,プル,PU RU
﻿Pluto,プルートー,PU RU - TO -
﻿proof,プルーフ,PU RU - HU
﻿pullover,プルオーバー,PU RU O - BA -
﻿pulse,プルス,PU RU SU
﻿play,プレイ,PU RE I
﻿place,プレース,PU RE - SU
﻿play spot,プレースポット,PU RE - SU PO tsu TO
﻿plate tectonics,プレートテクトニクス,PU RE - TO TE KU TO NI KU SU
﻿planing,プレーニング,PU RE - NI N GU
﻿playback,プレーバック,PU RE - BA tsu KU
﻿play ball,プレーボール,PU RE - BO - RU
﻿player,プレーヤー,PU RE - YA -
﻿plain,プレーン,PU RE - N
﻿plain soda,プレーンソーダ,PU RE - N SO - DA
﻿plain yoghurt,プレーンヨーグルト,PU RE - N YO - GU RU TO
﻿playgirl,プレイガール,PU RE I GA - RU
﻿playground,プレイグランド,PU RE I GU RA N DO
﻿placement test,プレイスメントテスト,PU RE I SU ME N TO TE SU TO
﻿playboy,プレイボーイ,PU RE I BO - I
﻿progressive,プレグレッシブ,PU RE GU RE tsu SI BU
﻿press,プレス,PU RE SU
﻿press conference,プレスカンファレンス,PU RE SU KA N HU a RE N SU
﻿press campaign,プレスキャンペーン,PU RE SU KI ya N PE - N
﻿preschool,プレスクール,PU RE SU KU - RU
﻿press club,プレスクラブ,PU RE SU KU RA BU
﻿press center,プレスセンター,PU RE SU SE N TA -
﻿prestige,プレステージ,PU RE SU TE - ZI
﻿presto,プレスト,PU RE SU TO
﻿press release,プレスリリース,PU RE SU RI RI - SU
﻿press release,プレスルルース,PU RE SU RU RU - SU
﻿pressure,プレッシャー,PU RE tsu SI ya -
﻿pressure group,プレッシャーグループ,PU RE tsu SI ya - GU RU - PU
﻿preppie,プレッピー,PU RE tsu PI -
﻿preppie look,プレッピールック,PU RE tsu PI - RU tsu KU
﻿preview,プレビュー,PU RE BI yu -
﻿previewer,プレビューア,PU RE BI yu - A
﻿previewer,プレビュアー,PU RE BI yu A -
﻿prefix,プレフィクス,PU RE HU i KU SU
﻿prelude,プレリュード,PU RE RI yu - DO
﻿probe,プローブ,PU RO - BU
﻿progressive,プログレッシブ,PU RO GU RE tsu SI BU
﻿progressive rock,プログレッシブロック,PU RO GU RE tsu SI BU RO tsu KU
﻿procedure,プロシージャ,PU RO SI - ZI ya
﻿projector,プロジェクター,PU RO ZI e KU TA -
﻿project,プロジェクト,PU RO ZI e KU TO
﻿project team,プロジェクトチーム,PU RO ZI e KU TO TI - MU
﻿progesterone,プロジェステロン,PU RO ZI e SU TE RO N
﻿proceeding,プロスィーディング,PU RO SU i - DE i N GU
﻿prostaglandin,プロスタグランディン,PU RO SU TA GU RA N DE i N
﻿prospective,プロスペクティブ,PU RO SU PE KU TE i BU
﻿prospect,プロスペクト,PU RO SU PE KU TO
﻿plotter,プロッタ,PU RO tsu TA
﻿plot,プロット,PU RO tsu TO
﻿propjet,プロップジェット,PU RO tsu PU ZI e tsu TO
﻿protein,プロテイン,PU RO TE I N
﻿producer,プロデューサー,PU RO DE yu - SA -
﻿produce,プロデュース,PU RO DE yu - SU
﻿proper,プロパー,PU RO PA -
﻿profiler,プロファイラ,PU RO HU a I RA
﻿profile,プロフィール,PU RO HU i - RU
﻿profit,プロフィット,PU RO HU i tsu TO
﻿professor,プロフェッサー,PU RO HU e tsu SA -
﻿professional,プロフェッショナル,PU RO HU e tsu SI yo NA RU
﻿proposal,プロポーザル,PU RO PO - ZA RU
﻿promotion,プロモーション,PU RO MO - SI yo N
﻿promoter,プロモーター,PU RO MO - TA -
﻿promote,プロモート,PU RO MO - TO
﻿prompter,プロンプター,PU RO N PU TA -
﻿prompter screen,プロンプタースクリーン,PU RO N PU TA - SU KU RI - N
﻿hair,ヘア,HE A
﻿hair care,ヘアケア,HE A KE A
﻿hairdye,ヘアダイ,HE A DA I
﻿hair dryer,ヘアドライヤー,HE A DO RA I YA -
﻿hairpiece,ヘアピース,HE A PI - SU
﻿hairpin curve,ヘアピンカーブ,HE A PI N KA - BU
﻿hectare,ヘクタール,HE KU TA - RU
﻿hectopascal,ヘクトパスカル,HE KU TO PA SU KA RU
﻿heather,ヘザー,HE ZA -
﻿hedge,ヘッジ,HE tsu ZI
﻿hedgehog,ヘッジホッグ,HE tsu ZI HO tsu GU
﻿hedging,ヘッジング,HE tsu ZI N GU
﻿header,ヘッダー,HE tsu DA -
﻿head,ヘッド,HE tsu DO
﻿head up,ヘッドアップ,HE tsu DO A tsu PU
﻿headgear,ヘッドギア,HE tsu DO GI A
﻿head coach,ヘッドコーチ,HE tsu DO KO - TI
﻿headspin,ヘッドスピン,HE tsu DO SU PI N
﻿head sliding,ヘッドスライディング,HE tsu DO SU RA I DE i N GU
﻿headhunter,ヘッドハンター,HE tsu DO HA N TA -
﻿head piece,ヘッドピース,HE tsu DO PI - SU
﻿headphone,ヘッドホン,HE tsu DO HO N
﻿head voice,ヘッドボイス,HE tsu DO BO I SU
﻿headlight,ヘッドライト,HE tsu DO RA I TO
﻿headlock,ヘッドロック,HE tsu DO RO tsu KU
﻿hetero,ヘテロ,HE TE RO
﻿heterogeneous,ヘテロジーニアス,HE TE RO ZI - NI A SU
﻿heterodox,ヘテロドックス,HE TE RO DO tsu KU SU
﻿heading,ヘディング,HE DE i N GU
﻿sludge,ヘドロ,HE DO RO
﻿heavy,ヘビー,HE BI -
﻿heavy smoker,ヘビースモーカー,HE BI - SU MO - KA -
﻿Hebraism,ヘブライズム,HE BU RA I ZU MU
﻿hem,ヘム,HE MU
﻿hemstitch,ヘムステッチ,HE MU SU TE tsu TI
﻿hemline,ヘムライン,HE MU RA I N
﻿herald,ヘラルド,HE RA RU DO
﻿helix,ヘリックス,HE RI tsu KU SU
﻿herringbone,ヘリンボーン,HE RI N BO - N
﻿hell,ヘル,HE RU
﻿healthy,ヘルシー,HE RU SI -
﻿Helsinki,ヘルシンキ,HE RU SI N KI
﻿health,ヘルス,HE RU SU
﻿health club,ヘルスクラブ,HE RU SU KU RA BU
﻿health check,ヘルスチェック,HE RU SU TI e tsu KU
﻿health food,ヘルスフード,HE RU SU HU - DO
﻿hernia,ヘルニア,HE RU NI A
﻿helper,ヘルパー,HE RU PA -
﻿help,ヘルプ,HE RU PU
﻿Helmholtz,ヘルムホルツ,HE RU MU HO RU TU
﻿Hermes,ヘルメス,HE RU ME SU
﻿helmet,ヘルメット,HE RU ME tsu TO
﻿heroin,ヘロイン,HE RO I N
﻿henna,ヘンナ,HE N NA
﻿bakery,ベーカリー,BE - KA RI -
﻿baking powder,ベーキングパウダー,BE - KI N GU PA U DA -
﻿Bakelite,ベークライト,BE - KU RA I TO
﻿bacon,ベーコン,BE - KO N
﻿bassist,ベーシスト,BE - SI SU TO
﻿basic,ベーシック,BE - SI tsu KU
﻿Basic English,ベーシックイングリッシュ,BE - SI tsu KU I N GU RI tsu SI yu
﻿beige,ベージュ,BE - ZI yu
﻿base,ベース,BE - SU
﻿base camp,ベースキャンプ,BE - SU KI ya N PU
﻿base coach,ベースコーチ,BE - SU KO - TI
﻿base down,ベースダウン,BE - SU DA U N
﻿basement,ベースメント,BE - SU ME N TO
﻿kiss,ベーゼ,BE - ZE
﻿betatron,ベータトロン,BE - TA TO RO N
﻿Beethoven,ベートーヴェン,BE - TO - VU e N
﻿veil,ベール,BE - RU
﻿bare top,ベアトップ,BE A TO tsu PU
﻿bearing,ベアリング,BE A RI N GU
﻿Bayesian,ベイジアン,BE I ZI A N
﻿Bayes,ベイズ,BE I ZU
﻿valium,ベイリウム,BE I RI U MU
﻿Beirut,ベイルート,BE I RU - TO
﻿bailout,ベイルアウト,BE I RU A U TO
﻿Belgrade,ベオグラード,BE O GU RA - DO
﻿Vega,ベガ,BE GA
﻿vector,ベクター,BE KU TA -
﻿vector,ベクトル,BE KU TO RU
﻿bechamel sauce,ベシャメルソース,BE SI ya ME RU SO - SU
﻿vegetable,ベジタブル,BE ZI TA BU RU
﻿best,ベスト,BE SU TO
﻿best condition,ベストコンディション,BE SU TO KO N DE i SI yo N
﻿best ten,ベストテン,BE SU TO TE N
﻿best dresser,ベストドレッサー,BE SU TO DO RE tsu SA -
﻿best member,ベストメンバー,BE SU TO ME N BA -
﻿better,ベター,BE TA -
﻿bet,ベット,BE tsu TO
﻿bed,ベッド,BE tsu DO
﻿bed house,ベッドハウス,BE tsu DO HA U SU
﻿bedroom,ベッドルーム,BE tsu DO RU - MU
﻿Bedouin,ベドウィン,BE DO U i N
﻿veneer,ベニヤ,BE NI YA
﻿Venetian blind,ベネチアンブラインド,BE NE TI A N BU RA I N DO
﻿benefit,ベネフィット,BE NE HU i tsu TO
﻿stroller,ベビーカー,BE BI - KA -
﻿play pen,ベビーサークル,BE BI - SA - KU RU
﻿belly dance,ベリーダンス,BE RI - DA N SU
﻿verify,ベリファイ,BE RI HU a I
﻿verifier,ベリファイア,BE RI HU a I A
﻿volume,ベリューム,BE RI yu - MU
﻿bell,ベル,BE RU
﻿bel canto,ベルカント,BE RU KA N TO
﻿Versailles,ベルサイユ,BE RU SA I YU
﻿belt conveyer,ベルトコンベヤー,BE RU TO KO N BE YA -
﻿weltschmerz,ベルトシュメルツ,BE RU TO SI yu ME RU TU
﻿Belfast,ベルファスト,BE RU HU a SU TO
﻿velvet,ベルベット,BE RU BE tsu TO
﻿bell mark,ベルマーク,BE RU MA - KU
﻿vermouth,ベルモット,BE RU MO tsu TO
﻿Berlin,ベルリン,BE RU RI N
﻿beret,ベレー,BE RE -
﻿tongue,ベロ,BE RO
﻿benzene,ベンゾール,BE N ZO - RU
﻿bender,ベンダー,BE N DA -
﻿bench,ベンチ,BE N TI
﻿bench warmer,ベンチウォーマー,BE N TI U o - MA -
﻿bench press,ベンチプレス,BE N TI PU RE SU
﻿benchmark,ベンチマーク,BE N TI MA - KU
﻿benchmark task,ベンチマークタスク,BE N TI MA - KU TA SU KU
﻿venture,ベンチャー,BE N TI ya -
﻿venture capital,ベンチャーキャピタル,BE N TI ya - KI ya PI TA RU
﻿venture business,ベンチャービジネス,BE N TI ya - BI ZI NE SU
﻿vending machine,ベンディングマシーン,BE N DE i N GU MA SI - N
﻿page out,ページアウト,PE - ZI A U TO
﻿page in,ページイン,PE - ZI I N
﻿pageant,ページェント,PE - ZI e N TO
﻿page girl,ページガール,PE - ZI GA - RU
